id,task,owner,status,priority,target_date,phase,category,notes,dependencies,verification
# ============================================================
# CapeControl — Robert's Task Plan
# Extracted: 2026-03-07
# Source: project-plan-launch-2026-03.csv + project-plan.csv
# ============================================================

# ──────────────────────────────────────────────────────────────
# LINKEDIN PROFILE SETUP (Phase 2)
# ──────────────────────────────────────────────────────────────
LI-001,Update LinkedIn profile headline + Featured section,Robert,done,P0,2026-03-01,Phase 2,LinkedIn,"Headline: 'Founder CapeControl — AI that feels calm first | Workflow automation for compliance-heavy teams | cape-control.com'. Featured: 3 links (website + pricing + video).",—,"Manual: LinkedIn profile updated"
LI-002,Update LinkedIn About section,Robert,done,P0,2026-03-01,Phase 2,LinkedIn,"Replace current About with CapeControl founder narrative. Emphasise evidence-oriented AI for regulated SMBs. Include cape-control.com CTA.",—,"Manual: About section updated"
LI-003,Add CapeControl to LinkedIn Experience,Robert,done,P0,2026-03-01,Phase 2,LinkedIn,"Title: Founder & CEO. Company: CapeControl. Start: Aug 2025. Description: platform capabilities + tech stack + entity details.",—,"Manual: Experience entry added"
LI-004,Create CapeControl LinkedIn Company Page,Robert,done,P1,2026-03-01,Phase 2,LinkedIn,"Name: Cape Control (ID 106972570). Tagline + overview + website + industry + specialties set. Email domain verified. Premium Page trial activated 2026-03-02 (cancel before Apr 2). Auto-invites on. Custom CTA button: Visit website → cape-control.com.",—,"Company page live at linkedin.com/company/106972570"
LI-005,Daily engagement routine (5–10 comments/day),Robert,in-progress,P0,2026-03-02,Phase 2,LinkedIn,"Comment on posts from property managers / compliance officers / finance ops / legal tech. Build visibility before and after each post. Non-negotiable for organic reach. Premium Business: use profile viewer analytics to identify interested people.",—,"Manual: daily activity"
LI-018,Use LinkedIn invite credits for Company Page (250/mo),Robert,not-started,P0,2026-03-06,Phase 2,LinkedIn,"Company Page has 0 followers — posts are invisible. Go to Company Page → Admin → Invite connections. Use all 250 monthly credits to build follower base. Repeat monthly.",LI-004,"Company Page follower count >50"
LI-019,Dual-post strategy: every Company post → personal profile post,Robert,in-progress,P0,2026-03-06,Phase 2,LinkedIn,"Company Page (0 followers) has no organic reach. Every Company post must be accompanied by a native personal profile post (not repost). Personal profile (626 followers) is the distribution engine until Company Page reaches 200+ followers. Write fresh founder-voice intro for each.",LI-004,"Every Company post has a matching personal post"
