file,group,subgroup,task,status
backend/src/modules/health/router.py,health,api,Ensure /alive /ping mounted under /api/health,done
backend/src/modules/health/tests/test_health.py,health,tests,Write pytest for /alive and /ping,done
backend/src/app.py,core,app,Wire routers + CORS + settings (single Uvicorn app),done
backend/src/modules/auth/router.py,auth,api,Implement /register /login /me (JWT),done
backend/src/modules/auth/schemas.py,auth,models,Pydantic schemas for Register/Login/Token,done
backend/src/modules/auth/service.py,auth,logic,Password hashing + JWT issue/verify,done
backend/src/modules/auth/tests/test_auth.py,auth,tests,Happy-path tests for register/login/me,done
backend/migrations/,db,alembic,Autogenerate initial models and upgrade head,done
backend/migrations/env.py,db,alembic,Confirm metadata target + compare options,done
.github/workflows/snapshot.yml,ci,plan,Nightly snapshot of plan.csv + PR,done
.github/workflows/smoke.yml,ci,health,Smoke test: curl /api/health 200,done
docs/DEVELOPMENT_CONTEXT.md,docs,runbook,Update ports/make targets/smoke steps,done
client/src/pages/Home.tsx,frontend,ui,Show API health + backend version,done
tools/validate_plan_csv.py,ci,tooling,"Keep header strict: file,group,subgroup,task,status",done
Makefile,dev,dx,Add plan-validate and plan-open targets,done
backend/src/modules/chatkit/router.py,chatkit,api,Expose ChatKit token endpoint scaffold,done
backend/src/modules/chatkit/service.py,chatkit,logic,Issue ChatKit tokens and manage threads,done
backend/src/modules/chatkit/schemas.py,chatkit,models,Define ChatKit token request/response schemas,done
backend/src/modules/chatkit/tools.py,chatkit,logic,Register placement tool adapters with handlers,done
backend/src/orchestrator/run_engine.py,orchestrator,logic,Execute sequential tool runs for flows,done
backend/src/modules/flows/router.py,orchestrator,api,Expose /api/flows/run entrypoint,done
backend/src/modules/flows/schemas.py,orchestrator,models,Schemas for orchestrator flow runs,done
backend/src/db/models.py,db,models,Add agent + version ORM classes,done
backend/migrations/versions/dc4ac5c9c3d5_add_agents_registry_tables.py,db,alembic,Agents registry tables migration,done
backend/src/modules/agents/router.py,agents,api,CRUD endpoints for agents and versions,done
backend/src/modules/agents/schemas.py,agents,models,Schemas for agent registry API,done
client/src/lib/api.ts,frontend,api,Shared fetch helpers for backend endpoints,done
client/src/features/dev/AgentRegistryPanel.tsx,frontend,dev,Developer portal agent registry UI,done
backend/src/modules/agents/router.py,agents,api,Publish agent versions endpoint,done
backend/src/modules/marketplace/router.py,marketplace,api,List published agents + detail,done
backend/src/modules/auth/deps.py,auth,api,Reusable dependency to resolve current user,done
backend/src/db/models.py,db,models,Add ChatKit thread and event tables,done
backend/migrations/versions/c1e0cc70f7a4_add_chatkit_tables.py,db,alembic,Create ChatKit thread/event tables migration,done
client/src/components/chat/ChatKitProvider.tsx,frontend,chat,Provide ChatKit token fetching context,done
client/src/components/chat/ChatSupport.tsx,frontend,chat,Support modal wired to ChatKit provider,done
client/src/components/nav/TopNav.tsx,frontend,ui,Global nav with support launcher,done
client/src/index.css,frontend,style,Style top nav and support modal,done
client/src/components/chat/ChatModal.tsx,frontend,chat,General ChatKit modal wrapper,done
client/src/pages/Home.tsx,frontend,landing,Marketing landing page with ChatKit CTAs,done
client/src/features/chat/OnboardingChat.tsx,frontend,chat,Onboarding chat launcher component,done
client/src/features/dev/AgentWorkbench.tsx,frontend,dev,Developer workbench launcher component,done
client/src/store/chatSession.ts,frontend,state,Placeholder chat session metadata helper,done
client/src/components/chat/ChatKitWidget.tsx,frontend,chat,Mount official ChatKit widget inside modal,done
client/src/features/marketplace/MarketplaceShowcase.tsx,frontend,ui,Marketplace showcase + detail modal,done
client/src/lib/api.ts,frontend,api,Marketplace detail + flow run helpers,done
backend/migrations/versions/e5e402c7ab39_rename_chat_event_metadata_column.py,db,alembic,Rename chat event metadata column,done
backend/migrations/versions/e73b9501791c_add_flow_runs_table.py,db,alembic,Create flow run audit table,done
client/src/features/chat/OnboardingHistory.tsx,frontend,ui,Onboarding run history + checklist card,done
backend/migrations/versions/224248f081ab_add_onboarding_checklists_table.py,db,alembic,Add onboarding checklist persistence,done
