file,group,subgroup,task,status
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,done
,General,backend,,todo
,General,backend,,todo
,General,devops,,busy
,General,devops,,done
,General,devops,,busy
,General,platform,,busy
,General,platform,,busy
,General,platform,,todo
,General,frontend,,todo
,General,frontend,,todo
,General,frontend,,todo
,General,frontend,,todo
,General,frontend,,todo
,General,frontend,,todo
,General,frontend,,todo
,General,frontend,,todo
,General,frontend,,todo
,General,frontend,,todo
,General,frontend,,todo
,General,frontend,,todo
,General,platform,,todo
,General,platform,,todo
,General,platform,,todo
,General,platform,,todo
,General,backend,,todo
,General,frontend,,todo
,General,platform,,todo
,General,backend,,todo
,General,backend,,todo
,General,backend,,todo
,General,docs,,todo
,General,platform,,todo
,General,docs,,todo
,General,frontend,,todo
,General,backend,,todo
,General,frontend,,todo
,General,backend,,todo
,General,platform,,todo
,General,platform,,todo
,General,platform,,todo
